"LeadNum","LeadScoreProfit","LeadScoreEasy","LeadNotes","Name","Site","Phone","Rating","Reviews","FullAddress"
"MJ-LEAD-SalemNHRestaurant-Oct25-074","","","","Five Guys","https://restaurants.fiveguys.com/291-south-broadway","+1 603-952-4994","4.4","442","291 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-075","","","","Salem House of Pizza","http://www.salemhouseofpizza.com/menu.jsp","+1 603-893-5250","4","281","115 Main St A, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-076","","","","The Common Man Windham","https://www.thecman.com/common-man-windham/","+1 603-898-0088","4.4","1635","88 Range Rd, Windham, NH 03087"
"MJ-LEAD-SalemNHRestaurant-Oct25-077","","","","It's Just Wings","https://locations.itsjustwings.com/nh/salem/salem-its-just-wings?utm_source=google","+1 469-983-5214","2.7","15","NH-28, 297 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-078","","","","The Friendly Toast","https://www.thefriendlytoast.com/salem-nh","+1 603-458-3131","4.3","108","18 Via Toscana, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-079","","","","Red Robin Gourmet Burgers and Brews","https://www.redrobin.com/locations/nh/salem/rockingham-mall-513?store_id=513","+1 603-952-2499","4","856","99 Rockingham Park Blvd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-080","","","","Long John Silver's | Taco Bell","https://www.ljsilvers.com/?y_source=1_MTc1NzMzMzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 603-890-3514","3.2","194","322 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-081","","","","Papa Gino's","https://locations.papaginos.com/nh/salem/99-cluff-crossing-rd.html?utm_source=google","+1 603-893-8476","4.1","550","99 Cluff Crossing Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-082","","","","Panera Bread","https://www.panerabread.com/en-us/cafe/locations/nh/salem/92-cluff-crossing-road?utm_medium=local","+1 603-952-2360","3.9","534","92 Cluff Crossing Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-083","","","","IHOP","https://restaurants.ihop.com/en-us/nh/salem/breakfast-528-s.-broadway-4766?utm_source=google","+1 603-870-9081","4.2","2086","528 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-084","","","","Parlay","http://theparlayrestaurant.com/","+1 978-683-7771","4.5","73","210 Howe St, Methuen, MA 01844"
"MJ-LEAD-SalemNHRestaurant-Oct25-085","","","","Popeyes Louisiana Kitchen","https://www.popeyes.com/store-locator/store/restaurant_84759?utm_source=yext","+1 603-458-5564","3.5","1976","481 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-086","","","","Sal's Pizza","https://www.sals.com/salem","+1 603-894-6767","2.5","2","4 Mall Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-087","","","","Minuteman Fried Clams","","","","","Park 85 N Policy St, Canobie Lake Railroad, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-088","","","","Dancing Bear Canteen","https://www.canobie.com/dining/dancing-bear-canteen/","","3","4","24 Canobie Ave, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-089","","","","Chipotle Mexican Grill","https://locations.chipotle.com/nh/salem/12-s-village-dr?utm_source=google","+1 603-870-0997","2.4","483","12 S Village Dr, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-090","","","","Spring Restaurant Inc (Xuân Quán)","https://www.springrestaurantmethuen.com/","+1 978-258-0856","4.6","245","7 Ayers Village Rd, Methuen, MA 01844"
"MJ-LEAD-SalemNHRestaurant-Oct25-091","","","","Wendy's","https://locations.wendys.com/united-states/nh/salem/316-n-broadway?utm_source=Yext","+1 603-898-1996","3.7","1023","316 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-092","","","","McDonald's","https://www.mcdonalds.com/us/en-us/location/NH/SALEM/225-S-BROADWAY/932.html?cid=RF:YXT:GMB::Clicks","+1 603-898-7923","3.8","1296","225 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-093","","","","Taco Bell / Long John Silver's","https://locations.tacobell.com/nh/salem/322-s--broadway.html?utm_source=yext","+1 603-890-3514","3.1","809","322 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-094","","","","Juicilicious","http://www.juicilicious.net/","+1 857-284-8179","4.2","149","224 N Broadway B2, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-095","","","","Sbarro","https://sbarro.com/","+1 603-276-3784","2.6","27","99 Rockingham Park Blvd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-096","","","","Domino's Pizza","https://www.dominos.com/en/?utm_source=google","+1 603-893-7100","3.7","280","254 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-097","","","","Pica's Pub and Grill","http://picaspub.com/","+1 978-683-4353","4.6","726","10 Ayers Village Rd, Methuen, MA 01844"
"MJ-LEAD-SalemNHRestaurant-Oct25-098","","","","Subway","https://restaurants.subway.com/united-states/nh/salem/326-north-broadway?utm_source=yxt-goog","+1 603-893-3005","2.4","44","326 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-099","","","","Shell","https://find.shell.com/us/fuel/12709741-501-s-broadway/en_US","+1 603-890-0140","4.2","63","501 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-100","","","","Dunkin'","https://locations.dunkindonuts.com/en/nh/salem/15-s-broadway/304412?utm_source=google","+1 603-698-4945","3.7","420","15 S Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-101","","","","Route 97 House of Pizza","http://route97pizza.com/","+1 978-686-0005","4.3","209","11 Ayers Village Rd, Methuen, MA 01844"
"MJ-LEAD-SalemNHRestaurant-Oct25-102","","","","Dunkin'","https://locations.dunkindonuts.com/en/nh/salem/8-stiles-rd/340424?utm_source=google","+1 603-893-2241","4","262","8 Stiles Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-103","","","","Dunkin'","https://locations.dunkindonuts.com/en/nh/salem/227-n-broadway/350604?utm_source=google","+1 603-912-5027","3.8","360","227 N Broadway, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-104","","","","Plaza Azteca Mexican Restaurant · Methuen","https://plazaazteca.com/methuen/","+1 978-794-0908","4.3","2096","552 Broadway, Methuen, MA 01844"
"MJ-LEAD-SalemNHRestaurant-Oct25-105","","","","Campbell's Scottish Highlands Golf Course & Driving Range","http://scottishhighlandsgolf.com/","+1 603-894-4653","4.5","417","79 Brady Ave, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-106","","","","Dunkin'","https://locations.dunkindonuts.com/en/nh/salem/36-38-lowell-street/336901?utm_source=google","+1 603-890-9130","3.6","239","36-38 Lowell Rd, Salem, NH 03079"
"MJ-LEAD-SalemNHRestaurant-Oct25-107","","","","Starbucks","https://www.starbucks.com/store-locator/store/1030333","+1 603-324-7515","3.8","246","57 Central St, Salem, NH 03079"
