LeadNum,name,site,type,phone,full_address,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,working_hours,business_status,about,range,description,verified,owner_title,reservation_links,booking_appointment_link,menu_link,order_links
MJ-LEAD-SalemNHRestaurant-Oct25-025,Trattoria Amalfi,http://www.tamalfi.com/,Italian restaurant,+1 603-893-5773,"385 S Broadway, Salem, NH 03079",4.6,877,28,11,38,114,686,321,"{""Monday"": ""Closed"", ""Tuesday"": ""4:30-9:30PM"", ""Wednesday"": ""4:30-9:30PM"", ""Thursday"": ""4:30-10PM"", ""Friday"": ""4:30-10PM"", ""Saturday"": ""3-10PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great coffee"": true, ""Great dessert"": true, ""Great wine list"": true}, ""Popular for"": {""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Romantic"": true, ""Upscale"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Dinner reservations recommended"": true, ""Accepts reservations"": true, ""Usually a wait"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$$,"Traditional Italian dining in a mural-filled backdrop with cozy booths & leafy, rustic accents.",TRUE,Trattoria Amalfi,,,,
MJ-LEAD-SalemNHRestaurant-Oct25-026,99 Restaurants,https://www.99restaurants.com/locations/new-hampshire/salem/,New England restaurant,+1 603-893-5596,"149 S Broadway, Salem, NH 03079",4.3,2108,58,83,194,610,1163,870,"{""Monday"": ""11AM-9:30PM"", ""Tuesday"": ""11AM-9:30PM"", ""Wednesday"": ""11AM-9:30PM"", ""Thursday"": ""11AM-10:30PM"", ""Friday"": ""11AM-10:30PM"", ""Saturday"": ""11AM-10:30PM"", ""Sunday"": ""11AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great coffee"": true, ""Great dessert"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Gender-neutral restroom"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""College students"": true, ""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""Has changing table(s)"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,"Kid-friendly pub chain offering classic fare like burgers, wings & salads in informal surrounds.",TRUE,99 Restaurants,,"https://www.google.com/viewer/chooseprovider?mid=/g/1v_z5b99&g2lbs=AO8LyOIg_KqW3S9RKjJnMQT_XnfJH8EZfZV7HzMlDl0QdY14gCnadIYAHJsOvR_jq1sNFC0Pys-gaFt1ihT_PRrjgF_qUxs9QRuluZso45vBqUhvpto_dWb_ATecg463fcTaIAGdhgtu&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-027,MaryAnn's Diner,https://maryannsdiner.com/,Diner,+1 603-893-9877,"3 Veterans Memorial Pkwy, Salem, NH 03079",4.5,4027,86,79,238,820,2804,1784,"{""Monday"": ""6AM-3PM"", ""Tuesday"": ""6AM-3PM"", ""Wednesday"": ""6AM-3PM"", ""Thursday"": ""6AM-3PM"", ""Friday"": ""6AM-8PM"", ""Saturday"": ""6AM-8PM"", ""Sunday"": ""6AM-3PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great coffee"": true, ""Great dessert"": true, ""Great tea selection"": true, ""Serves local specialty"": true}, ""Popular for"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Comfort food"": true, ""Quick bite"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""College students"": true, ""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$,,TRUE,MaryAnn's Diner,https://maryannsdiner.com/,"https://www.google.com/viewer/chooseprovider?mid=/g/11c2ql90_1&g2lbs=AO8LyOI7ExkIjU9YP-s07NCAbN0ZyszH9iWCf6rQgiQ1niBHwo9FXv3nTh3rrhNQLCrMmJ7XM69P-GFfU4Cmgtad4ZRPVE45TxoZgzFRm1Z1qcun3ma8P6ORPnrgZoWCQPDxa2GCfeW5&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-028,New Chief Wok Restaurant,http://www.newchiefwoknh.com/,Chinese restaurant,+1 603-898-6200,"224 N Broadway, Salem, NH 03079",4.3,314,24,8,19,56,207,55,"{""Monday"": ""Closed"", ""Tuesday"": ""11AM-9PM"", ""Wednesday"": ""11AM-9PM"", ""Thursday"": ""11AM-9PM"", ""Friday"": ""11AM-10PM"", ""Saturday"": ""11AM-10PM"", ""Sunday"": ""11:30AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true, ""Great tea selection"": true, ""Serves local specialty"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Locals"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,"Long-standing source for Chinese staples in an unpretentious, strip-mall backdrop with a bar.",TRUE,New Chief Wok Restaurant,,,,
MJ-LEAD-SalemNHRestaurant-Oct25-029,Kashmir Indian Cuisine,http://www.kashmirindianfood.com/,Indian restaurant,+1 603-898-3455,"396 S Broadway, Salem, NH 03079",4.4,1335,69,36,71,227,932,490,"{""Monday"": ""11:30AM-9PM"", ""Tuesday"": ""11:30AM-9PM"", ""Wednesday"": ""11:30AM-9PM"", ""Thursday"": ""11:30AM-9PM"", ""Friday"": ""11:30AM-10PM"", ""Saturday"": ""11:30AM-10PM"", ""Sunday"": ""11:30AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true, ""Great tea selection"": true, ""Serves local specialty"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Quiet"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,Indian restaurant offering a menu of traditional dishes & drinks presented in an intimate setting.,TRUE,Kashmir Indian Cuisine,,"https://www.google.com/viewer/chooseprovider?mid=/g/1tp0947r&g2lbs=AO8LyOLOjGPunzcUpK26aqE4WTUEF1O8ccqglJJO9M-8aqGucbzWohXioewDfF3sVK-ydXBv2cui4YX8L3Y6eYP6-2aIKfd84jnJZySTaT_JyVGogZZI8tGkUwNAM3bZ8YlTjE7RDFfv&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-030,Rose's Home Cookin',http://www.roseshomecookin.com/,Restaurant,+1 603-458-1939,"53 Stiles Rd # A101, Salem, NH 03079",4.8,130,2,0,3,11,114,31,"{""Monday"": ""10AM-3PM"", ""Tuesday"": ""10AM-3PM"", ""Wednesday"": ""10AM-3PM"", ""Thursday"": ""10AM-3PM"", ""Friday"": ""11AM-3PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false, ""Onsite services"": false}, ""Popular for"": {""Lunch"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Assistive hearing loop"": false, ""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Offerings"": {""Comfort food"": true, ""Healthy options"": true, ""Quick bite"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Catering"": true, ""Counter service"": true, ""Table service"": false}, ""Amenities"": {""Restroom"": false}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""LGBTQ+ friendly"": true, ""Tourists"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true, ""Parking"": true}, ""Pets"": {""Dogs allowed outside"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$,,TRUE,Rose's Home Cookin',,,,
MJ-LEAD-SalemNHRestaurant-Oct25-031,Vallarta Tacos & Burritos,https://vallartatacosburritos.com/,Taco restaurant,+1 603-328-5552,"92 Cluff Crossing Rd, Salem, NH 03079",4.8,264,4,3,5,16,236,144,"{""Monday"": ""11AM-9PM"", ""Tuesday"": ""11AM-9PM"", ""Wednesday"": ""11AM-9PM"", ""Thursday"": ""11AM-9PM"", ""Friday"": ""11AM-9PM"", ""Saturday"": ""11AM-9PM"", ""Sunday"": ""11AM-8PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Comfort food"": true, ""Quick bite"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Seating"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Locals"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$,,TRUE,Vallarta Tacos & Burritos,,"https://www.google.com/viewer/chooseprovider?mid=/g/11vb8dkfgf&g2lbs=AO8LyOIrrDfV1CIVIGnCIswwD2aGacNiiJcjOEK4Qv9TaW4ha5_ZWXjwUlbEncvJFJZs86T2RfRINgt315cx-w06YXYlG47p0Jvp07j_7jMIiN4fTS5bwx1onzQAUP7G5kV0-k_E0T6b&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-032,Rae's Coal Fired Pizza,http://raescoalfired.com/,Restaurant,+1 603-458-7078,"23 S Broadway, Salem, NH 03079",4.3,27,2,2,1,2,20,28,"{""Monday"": ""11AM-8PM"", ""Tuesday"": ""11AM-9PM"", ""Wednesday"": ""11AM-9PM"", ""Thursday"": ""11AM-10PM"", ""Friday"": ""11AM-10PM"", ""Saturday"": ""11AM-10PM"", ""Sunday"": ""11AM-7PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Comfort food"": true, ""Hard liquor"": true, ""Quick bite"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Trendy"": true}, ""Crowd"": {""Groups"": true, ""Tourists"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,,TRUE,Rae's Coal Fired Pizza,,"https://www.google.com/viewer/chooseprovider?mid=/g/11sbbmvsm9&g2lbs=AO8LyOIZkq1iu5Io8czbNt0d5O65SLiV59hKV2CRD3ls9G9w9Jl7RYAo3zgunUH6bBTiz3dKFpAJeeMLIghRyydc2UODdYnhPSIVAum6sy4MOyA3N0Uza5Ek0TJ8gytzhlQ2tn-n1ebj&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,
MJ-LEAD-SalemNHRestaurant-Oct25-033,Old School Bar & Grill,http://oldschoolbarandgrill.com/,Bar & grill,+1 603-458-6051,"49 NH-111A Building 2, Suite #4, Windham, NH 03087",4.3,1306,59,31,111,301,804,355,"{""Monday"": ""11:30AM-10:30PM"", ""Tuesday"": ""11:30AM-10:30PM"", ""Wednesday"": ""11:30AM-10:30PM"", ""Thursday"": ""11:30AM-11PM"", ""Friday"": ""11:30AM-11PM"", ""Saturday"": ""11:30AM-11PM"", ""Sunday"": ""11:30AM-10:30PM""}",OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true, ""Fireplace"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Live music"": true, ""Live performances"": true, ""Serves local specialty"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Food"": true, ""Food at bar"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Tourists"": true, ""Transgender safespace"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}, ""Pets"": {""Dogs allowed outside"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$$,"Dishes such as prime rib, lobster rolls & pasta are on the menu at this casual place with a patio.",TRUE,Old School Bar & Grill,,,,
MJ-LEAD-SalemNHRestaurant-Oct25-034,Tokyo Japanese Steakhouse,http://www.tokyosteakhousesalem.com/,Japanese restaurant,+1 603-894-7088,"291 S Broadway, Salem, NH 03079",4.3,435,29,15,26,79,286,349,"{""Monday"": ""Closed"", ""Tuesday"": ""12-10PM"", ""Wednesday"": ""12-10PM"", ""Thursday"": ""12PM-1AM"", ""Friday"": ""12PM-1AM"", ""Saturday"": ""12PM-1AM"", ""Sunday"": ""12-9PM""}",OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Onsite services"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Great tea selection"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Trendy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""Tourists"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,"Casual, family-owned Japanese bar/eatery featuring tableside grills, energetic chefs & a sushi menu.",TRUE,Tokyo Japanese Steakhouse,https://tables.toasttab.com/restaurants/c61dc516-f018-456f-82a3-f786c85d1344/findTime,https://tables.toasttab.com/restaurants/c61dc516-f018-456f-82a3-f786c85d1344/findTime,,https://tables.toasttab.com/restaurants/c61dc516-f018-456f-82a3-f786c85d1344/findTime
MJ-LEAD-SalemNHRestaurant-Oct25-035,Par28,https://par28.com/,Restaurant,+1 603-458-7078,"23 S Broadway Unit 10, Salem, NH 03079",4.4,188,6,9,12,29,132,165,"{""Monday"": ""10AM-9PM"", ""Tuesday"": ""10AM-9PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-11PM"", ""Friday"": ""10AM-12AM"", ""Saturday"": ""10AM-12AM"", ""Sunday"": ""10AM-8PM""}",OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great beer selection"": true, ""Great cocktails"": true, ""Live music"": true, ""Sports"": true}, ""Popular for"": {""Lunch"": true, ""Dinner"": true, ""Solo dining"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Comfort food"": true, ""Happy hour drinks"": true, ""Happy hour food"": true, ""Hard liquor"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true, ""Table service"": true}, ""Amenities"": {""Bar onsite"": true, ""Gender-neutral restroom"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Trendy"": true}, ""Crowd"": {""College students"": true, ""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Payments"": {""Checks"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Has changing table(s)"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as veteran-owned"": true}}",$$,,TRUE,Par28,https://clients.mindbodyonline.com/ASP/main_shop.asp?studioid=5729785&tg=&vt=&lvl=&stype=41&view=&trn=0&page=&catid=&prodid=&date=5%2F13%2F2024&classid=0&prodGroupId=&sSU=&optForwardingLink=&qParam=&justloggedin=&nLgIn=&pMode=1&loc=1,"https://www.google.com/viewer/chooseprovider?mid=/g/11sbbm_4gc&g2lbs=AO8LyOIfW1KEVQad3Tg0m_LJaQ2GlVgqpp-aedoHhSX6A7-FVA5qOum7jYCYpTvdEj_UeageuqOzaPq4VGIQBJYhjFBfWEwuwhNj4Xm9kLOzVxAgtjHLNzJ5reHpcx-_W6D9igQeT-eV&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KqDyaNHvHvHbwPAPuIepuQI&ei=KqDyaNHvHvHbwPAPuIepuQI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",,https://clients.mindbodyonline.com/ASP/main_shop.asp?studioid=5729785&tg=&vt=&lvl=&stype=41&view=&trn=0&page=&catid=&prodid=&date=5%2F13%2F2024&classid=0&prodGroupId=&sSU=&optForwardingLink=&qParam=&justloggedin=&nLgIn=&pMode=1&loc=1
