"LeadNum","Company","Website","Contact","HQ-Address","Industry","Size","Notes"
"MIKE-OCHQ-1A-000011","Vans (VF Corp)","https://www.vans.com/","Tel: +1 (855) 909-8267 | Privacy Requests: https://www.vfc.com/privacy-requests","1588 S Coast Dr, Costa Mesa, CA 92626","Footwear & Apparel Importer","Large brand importing high volumes of footwear, apparel, and accessories with complex global vendor networks and extensive U.S. distribution.","Footwear classification/valuation (including auxiliary materials, foxing, and FTA eligibility) is critical to avoid penalties; apparel requires fiber content accuracy. Manage Section 301 exposure and consider tariff engineering strategies. Implement CTPAT and strong broker SOPs, HTS master data, vendor compliance, and carton/label standards. High return volumes enable drawback. Ensure UFLPA supply chain traceability for cotton/textiles. Coordinate PGA considerations (e.g., CPSIA) and maintain 19 CFR 163 records."
"MIKE-OCHQ-1A-000012","Volcom","https://www.volcom.com/","Contact: https://www.volcom.com/pages/contact-us | Privacy: https://www.volcom.com/pages/privacy-policy","1740 Monrovia Ave, Costa Mesa, CA 92627","Apparel Importer","Mid-size action sports brand importing apparel/accessories; seasonal collections with frequent material changes and trims.","Key risks: fiber content classification and COO, labeling/marking, and valuation of assists (design/development). Manage Section 301 costs and develop tariff engineering where viable. Build UFLPA traceability for cotton sources and trim suppliers. Broker SOPs, ASN/carton compliance, and vendor training reduce CBP exams. Returns cause reconciliation burdens—enable controlled RMA and drawback processes with audit trails and KPI reviews to sustain compliance and reduce landed cost."
"MIKE-OCHQ-1A-000013","Quiksilver (Boardriders)","https://www.quiksilver.com/","Contact: https://www.quiksilver.com/pages/contact | Privacy: https://www.quiksilver.com/pages/privacy-policy (customerservice@quiksilver.com)","5600 Argosy Ave #100, Huntington Beach, CA 92648","Apparel & Surf Gear Importer","Mid-to-large surf brand importing apparel, wetsuits, and accessories; wholesale and DTC flows with seasonal peaks.","Wetsuits and surf gear require careful HTS classification (rubber/neoprene vs. textile constructions). Apparel demands fiber/label accuracy and COO marking. Section 301 exposure for PRC-origin items requires planning; develop UFLPA documentation for cotton/trims. Strong vendor manuals, carton/pack compliance, and pre-shipment inspections reduce CBP holds. Returns and warranty programs should be tied to drawback. Maintain broker SOPs, master data governance, and periodic classification audits to avoid repeat errors."
"MIKE-OCHQ-1A-000014","Billabong (Boardriders)","https://www.billabong.com/","Contact: https://www.billabong.com/pages/contact | Privacy: https://www.billabong.com/pages/privacy-policy (customerservice@billabong.com)","5600 Argosy Ave #100, Huntington Beach, CA 92649","Apparel & Surf Gear Importer","Mid-size surf apparel brand importing seasonal lines and accessories, servicing wholesale and DTC e‑commerce from West Coast nodes.","Maintain precise HTS by garment type/fiber content, COO marking, and valuation including assists. Implement UFLPA diligence and vendor attestations for cotton supply chains. Section 301 mitigation strategies (sourcing diversification, tariff engineering) should be in place. Broker SOPs, ASN/carton standards, and vendor QA reduce holds. Returns and warranty handling enable drawback with proper reconciliation. Maintain classification rulings and product master data to sustain compliance quality."
"MIKE-OCHQ-1A-000015","Hurley","https://www.hurley.com/","Contact: https://www.hurley.com/pages/contact-us | Privacy: https://www.hurley.com/pages/privacy-policy","1945 Placentia Ave, Costa Mesa, CA 92627","Apparel Importer","Mid-size surf/skate brand importing apparel and accessories with frequent seasonal updates and collaborations.","Compliance focus: accurate classification, COO marking, and fiber/care labeling to avoid CBP penalties. Section 301 exposure demands duty mitigation planning. UFLPA diligence on cotton and trims should be documented. Establish vendor training, carton/pack standards, and pre-shipment inspections to lower exam rates. Implement broker SOPs, restricted party screening, and master data governance. Returns programs can support drawback; keep 19 CFR 163-compliant records and periodic audits."
"MIKE-OCHQ-1A-000016","Oakley","https://www.oakley.com/","Tel: +1 (855) 592-2237 | Privacy: https://www.oakley.com/en-us/legal/privacy-policy (privacyoffice@luxotticaretail.com)","1 Icon, Foothill Ranch, CA 92610","Eyewear & Apparel Importer","Large performance eyewear brand importing sunglasses, goggles, and apparel; high SKU complexity and PGA considerations for lenses/electronics in premium lines.","Key needs: HTS accuracy for eyewear, lenses, apparel, and accessories; COO marking; and management of warranty returns. Consider FCC for any electronic components in smart products. Strong vendor QC reduces labeling/marking issues. UFLPA diligence for materials and packaging should be documented. Implement CTPAT, broker SOPs, and HTS/ECCN master data. Manage Section 301 exposure for PRC-origin components and enable drawback for warranty returns with auditable reconciliation processes."
"MIKE-OCHQ-1A-000017","ASICS America","https://www.asics.com/us/","Contact: https://www.asics.com/us/en-us/contactus/ | Privacy: https://www.asics.com/us/en-us/privacy-policy.html","7755 Irvine Center Dr, Ste 400, Irvine, CA 92618","Footwear & Apparel Importer","Large regional HQ importing footwear/apparel with multi-port entries and nationwide distribution; significant seasonal and campaign-driven volume spikes.","Footwear classification hinges on outer sole/upper materials, foxing, and construction; apparel requires fiber/label compliance. Section 301 exposure and tariff engineering strategies matter. Ensure UFLPA traceability for cotton supply chains. Warranty/returns and bulk RTVs can leverage drawback. Maintain broker SOPs, CTPAT, HTS master data, and classification rulings. Implement KPI dashboards for broker error rates, CBP holds, and post-summary corrections, with continuous supplier training."
"MIKE-OCHQ-1A-000018","VIZIO","https://www.vizio.com/","Tel: +1 (844) 254-8087 | Privacy: https://www.vizio.com/en/terms/privacy-policy (privacy@vizio.com)","39 Tesla, Irvine, CA 92618","Consumer Electronics Importer","Large U.S. brand importing TVs, soundbars, and accessories with high-volume seaborne entries into U.S. ports and DCs.","Electronics imports trigger EAR/ECCN reviews for certain modules and FCC compliance for RF components. Ensure accurate HTS and valuation for bundled accessories. Section 301 tariffs require mitigation strategies. UFLPA diligence for PRC-origin subcomponents is a priority. Implement CTPAT, broker SOPs, and master data governance. Manage returns/DOA flows with refurbishment and duty drawback. Maintain robust screening of logistics partners and post-entry audits to limit penalties."
"MIKE-OCHQ-1A-000019","TCL North America","https://www.tcl.com/us/en","Tel: +1 (877) 300-8837 | Privacy: https://www.tcl.com/us/en/terms-privacy (privacy.na@tcl.com)","189 Technology Dr, Irvine, CA 92618","Consumer Electronics Importer","Large NA unit importing TVs and audio products at scale with multi-port distribution and retail channel programs nationwide.","Ensure EAR/ECCN and FCC compliance for smart TVs and soundbars; maintain accurate HTS and valuation for bundled items. Section 301 management and UFLPA diligence across electronics supply chains are essential. Implement CTPAT, broker SOPs, ASN data accuracy, and serial tracking for returns/refurb flows enabling drawback. Govern master data and classification audits; maintain KPI reviews on CBP holds and post-summary corrections to reduce compliance risk."
"MIKE-OCHQ-1A-000020","TP-Link USA","https://www.tp-link.com/us/","Tel: +1 (626) 333-0234 | Privacy: https://www.tp-link.com/us/about-us/privacy/ (privacy@tp-link.com)","10 Mauchly, Irvine, CA 92618","Networking Hardware Importer","Mid-size U.S. subsidiary importing routers, switches, cameras, and smart home devices with steady retail and e‑commerce demand.","Products may require EAR/ECCN assessments and FCC authorization. Maintain precise HTS for radios, antennas, PoE injectors, and accessories; document valuation and assists. UFLPA diligence across PCBAs, wiring, and plastics is vital. Implement CTPAT, broker SOPs, and product-level ECCN/HTS master data. Manage RMA/returns through authorized channels with serial capture to support duty drawback; monitor broker KPIs and conduct periodic post-entry reviews."
"MIKE-OCHQ-1A-000021","Edwards Lifesciences","https://www.edwards.com/","Tel: +1 (949) 250-2500 | Privacy: https://www.edwards.com/legal/privacy-policy","One Edwards Way, Irvine, CA 92614","Medical Devices Importer","Public medtech with ~$5.4B FY2024 revenue (per IR) and thousands of employees; significant imports of cardiovascular devices, components, and accessories supporting global therapies.","Medical device imports center on sterile cardiovascular devices, instrumentation, and components. Compliance needs: precise HTS classification for devices/instruments, valuation controls (assists, tooling), and 19 CFR 134 marking exemptions where applicable. PGA: FDA device listing/UDI and potential recalls coordination. Maintain EAR posture (largely EAR99, with exceptions), strong supplier quality agreements, and UFLPA diligence on subcomponents. Returns/rework programs should align with drawback opportunities under audit-ready SOPs."
"MIKE-OCHQ-1A-000022","Masimo","https://www.masimo.com/","Tel: +1 (949) 297-7000 | Compliance: [email protected] | Privacy: https://www.masimo.com/","Irvine, CA 92618","Medical Devices Importer","Global medtech with ~$2.0B+ annual revenue (per investor filings); large U.S. import volumes for patient monitoring, sensors, and accessories serving hospitals and home health.","Imports include sensors, cables, monitors, and accessories requiring accurate HTS, COO marking, and FDA device controls (registration/listing/UDI). Maintain EAR/ECCN review for connectivity features. High service/consumable volumes demand robust broker SOPs and master data governance. UFLPA diligence for electronics and cable assemblies is critical. Returned/serviced equipment benefits from duty drawback when properly reconciled. Ensure RPS screening and vendor compliance audits; maintain 19 CFR 163 records and KPI dashboards for brokers."
"MIKE-OCHQ-1A-000023","Allergan Aesthetics (AbbVie)","https://www.allerganaesthetics.com/","Contact: https://www.abbvie.com/contactus.html | Privacy: https://www.abbvie.com/privacy.html","Irvine, CA 92612","Medical Aesthetics Importer","Division of AbbVie (parent ~$55B+ revenue FY2024); imports aesthetics products/devices and promotional materials supporting U.S. distribution.","As part of a global pharma, Allergan Aesthetics handles regulated products with FDA controls (drug/device/biologic as applicable). Key needs: HTS accuracy, valuation/transfer pricing documentation, lot/serial traceability, and complaint/recall readiness. Ensure EAR posture (often EAR99) and PGA coordination. Implement vendor SOPs, RPS screening, and strong third-party logistics oversight. UFLPA diligence for device components/packaging, and strict recordkeeping (19 CFR 163) aligned with corporate compliance and auditing programs are essential."
"MIKE-OCHQ-1A-000024","Targus","https://us.targus.com/","Tel: +1 (877) 482-7487 | CCPA/Privacy: https://us.targus.com/pages/ccpa-inquiry-form (US.Privacy@targus.com)","Anaheim, CA 92806","Tech Accessories Importer","Mature accessories brand with significant U.S. imports of bags, cases, docks, and peripherals; hundreds of SKUs across retail and enterprise channels.","Compliance priorities: correct HTS for bags (4202), electronics (USB-C docks, adapters), and accessories; valuation of assists/design; COO marking. Section 301 exposure and tariff engineering may apply for certain materials. UFLPA diligence for textiles, zippers, and electronics subassemblies is necessary. Maintain CTPAT, broker SOPs, ASN/carton compliance, and master data governance. High returns from e‑commerce and enterprise warranty can enable drawback with robust reconciliation and audit trails."
"MIKE-OCHQ-1A-000025","PacSun","https://www.pacsun.com/","Contact: https://www.pacsun.com/cs-help-contact.html | Corporate: https://www.pacsun.com/store/?StoreID=12+Whatney","12 Whatney, Irvine, CA 92618","Apparel & Footwear Importer","Specialty retailer importing private label and select branded goods; sizable seasonal volumes across apparel, footwear, and accessories.","Retailer imports require meticulous HTS by fiber/material composition, consistent COO marking, and labeling compliance to avoid CBP penalties. Manage Section 301 exposure on PRC-origin goods and build UFLPA traceability for cotton and trims. Broker SOPs and vendor manuals (pack/carton/label) reduce holds. Returns and reverse logistics should support drawback programs. Implement master data governance, periodic classification audits, and RPS screening for vendors/third parties to minimize enforcement risks."
"MIKE-OCHQ-1A-000026","BSH Home Appliances (Bosch/Siemens)","https://www.bsh-group.com/us/","Tel: +1 (949) 440-7100 | Corporate Contact: https://www.bsh-group.com/us/contact (BSH-RNACorporateCommunications@bshg.com)","1901 Main St, Suite 600, Irvine, CA 92614","Home Appliances Importer","Large appliance maker with significant U.S. imports of dishwashers, refrigerators, cooktops, and parts; multi-port entries and nationwide distribution.","Appliance imports require precise HTS for large appliances and parts, valuation controls for assists/tooling, and PGA coordination for safety/energy labeling. Section 301 exposure for components requires duty strategy. Implement CTPAT, broker SOPs, and robust master data governance. Warranty returns and spare parts flows can enable drawback. Ensure UFLPA diligence for electronics, wiring harnesses, and plastics. Maintain KPI reviews on broker errors, CBP holds, PSCs, and audit readiness per 19 CFR 163."
"MIKE-OCHQ-1A-000027","Hosa Technology","https://hosatech.com/","Tel: +1 (714) 522-8878 | Privacy: https://hosatech.com/privacy-policy/","6650 Caballero Blvd, Buena Park, CA 90620","Audio Cables & Accessories Importer","Smaller audio accessories company importing cables, adapters, and related gear serving MI/pro audio channels across the U.S.","Cable/accessory imports hinge on accurate HTS for connectors/cables, COO marking, and packaging/label compliance. UFLPA diligence for copper/wire harnesses and plastics is necessary. Establish vendor manuals, carton standards, and pre-shipment inspections to reduce CBP holds. Maintain broker SOPs and master data governance. Returns and warranty handling should include reconciliation and potential drawback. Implement restricted party screening and periodic post-entry audits to minimize penalties."
"MIKE-OCHQ-1A-000028","Sonance","https://sonance.com/","Contact: https://sonance.com/pages/contact | Privacy: https://www.sonance.com/privacy","San Clemente, CA 92673","Architectural Audio Importer","Premium architectural audio brand importing speakers, amplifiers, and accessories for residential/commercial integration; complex channel distribution.","Electronics imports require EAR/ECCN assessment and FCC compliance for RF/EMI where applicable. HTS accuracy for loudspeakers/amplifiers and valuation of bundled kits are critical. UFLPA diligence for electronics and plastics should be documented. Implement broker SOPs, ASN accuracy, and serial tracking for warranty returns enabling drawback. Maintain restricted party screening for integrators/distributors, and preserve audit-ready files per 19 CFR 163 with KPI monitoring on CBP holds and PSCs."
"MIKE-OCHQ-1A-000029","Arbonne","https://www.arbonne.com/","Contact: https://www.arbonne.com/us/en/contact-us | Privacy: https://www.arbonne.com/us/en/privacy-notice","9400 Jeronimo Rd, Irvine, CA 92618","Health & Beauty Products Importer","Mid-size DTC/MLM wellness and beauty company importing finished goods, packaging, and promotional items; steady omni-channel fulfillment.","Cosmetics/personal care imports require accurate HTS and FDA cosmetic facility registration where applicable. Ensure labeling compliance (ingredients, claims) and COO marking. UFLPA diligence for packaging and components is essential. Implement vendor manuals, carton/label standards, and broker SOPs to cut CBP holds. Returns and sampling can use drawback if controlled. Maintain master data governance, RPS screening for distributors, and robust 19 CFR 163 recordkeeping with periodic classification reviews."
"MIKE-OCHQ-1A-000030","Razer (US HQ)","https://www.razer.com/","Contact: https://www.razer.com/contact-us | Privacy: https://www.razer.com/legal/customer-privacy-policy","Irvine, CA 92618","Gaming Hardware Importer","Global gaming brand (dual HQ in Irvine/Singapore) importing peripherals, laptops, and accessories into U.S. retail and DTC channels; high SKU variety.","Electronics imports require EAR/ECCN and FCC approvals for RF/BT/Wi‑Fi devices. Maintain accurate HTS and valuation for bundled accessories and kits. Section 301 management and UFLPA diligence across PCBAs, batteries, and plastics are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for warranty returns/refurb enabling drawback. Maintain master data governance, RPS screening, and periodic post-entry audits to mitigate CBP penalties."
"MIKE-OCHQ-1A-000031","Sole Technology (etnies, éS, Emerica)","https://www.soletechnology.com/","Tel: +1 (949) 460-2020 | Contact: http://www.soletechnology.com/pages/contact.aspx","26921 Fuerte Dr, Lake Forest, CA 92630","Footwear & Apparel Importer","Mid-size action sports company importing footwear/apparel across multiple brands; wholesale and DTC distribution with seasonal surges.","Footwear classification nuances (material composition, foxing, protective features) drive duty rates; apparel requires fiber/label accuracy and COO marking. Section 301 exposure should be managed with sourcing/tariff engineering. Implement vendor manuals, carton/pack standards, and broker SOPs to reduce CBP exams. Returns and warranty programs can leverage drawback with robust reconciliation. Maintain RPS screening and audit-ready documentation (19 CFR 163) with periodic classification audits."
"MIKE-OCHQ-1A-000032","Tillys","https://www.tillys.com/","Contact: https://www.tillys.com/cs-help-contact.html | Corporate: https://www.tillys.com/store/?StoreID=12+Whatney","12 Whatney, Irvine, CA 92618","Apparel & Footwear Importer","Specialty retailer importing private label and select branded goods; steady volume with seasonal spikes tied to back‑to‑school and holiday.","Retailer import programs require deep HTS governance across apparel/footwear/accessories, strong COO marking controls, and pack/label compliance to prevent CBP notices. UFLPA diligence for cotton and trims is critical. Implement broker SOPs, ASN/carton data accuracy, and vendor training to reduce holds. High returns rates support drawback when inventory reconciliation is tight. Maintain RPS screening, master data governance, and post-entry audits to limit penalties."
"MIKE-OCHQ-1A-000033","Fox Racing","https://www.foxracing.com/","Tel: +1 (888) 369-7223 | Privacy: https://www.foxracing.com/privacy-policy.html (customerservice@foxracing.com)","16752 Armstrong Ave, Irvine, CA 92606","Moto & MTB Gear Importer","Mid-size powersports/mountain bike gear brand importing apparel, helmets, and protective gear with safety/labeling considerations.","Protective gear and helmets require precise HTS classification and may trigger safety standards and labeling requirements. Apparel classifications depend on fiber/construction; COO marking and Section 301 exposure must be managed. UFLPA diligence for textiles and plastics is essential. Implement broker SOPs, vendor manuals, and pre-shipment inspections to reduce CBP holds. Warranty/recall returns should be tied to serialized tracking and drawback. Maintain RPS screening and robust 19 CFR 163 records."
"MIKE-OCHQ-1A-000034","Extron Electronics","https://www.extron.com/","Contact: https://www.extron.com/company/contactus.aspx | Privacy: https://www.extron.com/article/privacystatement","Anaheim, CA 92806","Pro AV Hardware Importer","Large pro AV manufacturer/distributor importing switchers, extenders, and accessories; education and enterprise channels with nationwide projects.","Electronics/AV imports require EAR/ECCN and FCC compliance. Accurate HTS and valuation for kits/cables/accessories are essential. Section 301 management and UFLPA diligence for PCBAs, metals, and plastics are required. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for warranty returns enabling drawback. Maintain master data governance, RPS screening for integrators and distributors, and audit-ready documentation with KPI tracking on CBP holds and PSCs."
"MIKE-OCHQ-1A-000035","D-Link Systems (USA)","https://us.dlink.com/","Contact: https://shop.us.dlink.com/pages/contact-us | Corporate: https://shop.us.dlink.com/blogs/news/d-link-moves-southern-california-offices","Irvine, CA 92606","Networking Hardware Importer","Global networking brand’s U.S. arm importing routers, switches, and cameras; retail and SMB channels with sustained demand.","Electronics imports require EAR/ECCN and FCC compliance; maintain accurate HTS for radios, antennas, and accessories. Section 301 mitigation and UFLPA diligence across electronics supply chains are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for returns/refurb enabling drawback. Govern product-level ECCN/HTS master data and perform periodic post-entry audits and RPS screening for partners to reduce enforcement risk."
"MIKE-OCHQ-1A-000036","ICU Medical","https://www.icumed.com/","Contact: https://www.icumed.com/contact-us/ | Privacy: https://www.icumed.com/privacy-notice/","951 Calle Amanecer, San Clemente, CA 92673","Medical Devices Importer","Public medtech with multi‑billion USD annual revenue; imports infusion systems, consumables, and accessories supporting U.S. hospitals and clinics.","Medical device imports include pumps, IV sets, and sterile consumables requiring precise HTS and potential 134.32 marking exemptions. FDA registration/listing, UDI, and complaint/recall controls are essential. Ensure EAR posture and evaluate ECCN for any software/firmware. UFLPA diligence for plastics, tubing, and electronics subcomponents must be documented. Warranty/service returns can leverage drawback when reconciled. Maintain RPS screening, supplier quality agreements, and 19 CFR 163 audit-ready documentation."
"MIKE-OCHQ-1A-000037","Applied Medical","https://www.appliedmedical.com/","Contact: https://www.appliedmedical.com/ContactUs | Privacy: https://appliedmedical.com/Legal/PrivacyPolicy","Rancho Santa Margarita, CA 92688","Medical Devices Importer","Large private device manufacturer with substantial U.S. imports and domestic manufacturing; revenue undisclosed publicly; broad OR product portfolio.","Imports span surgical instruments, trocars, and minimally invasive devices. Key needs: accurate HTS, valuation for tooling/assists, and COO controls. FDA device listing/UDI and quality system linkages to supply chain partners are critical. Implement broker SOPs, ASN/carton compliance, and supplier training to reduce CBP holds. UFLPA diligence for plastics/metal components must be maintained. Enable returns/rework drawback with strict reconciliation and retain 5-year records per 19 CFR 163."
"MIKE-OCHQ-1A-000038","MicroVention (Terumo)","https://www.microvention.com/","Tel: +1 (714) 247-8000 | Privacy/Contact: https://www.microvention.com/contact (hello@microvention.com; customerservice@microvention.com)","35 Enterprise, Aliso Viejo, CA 92656","Neurovascular Devices Importer","Subsidiary of Terumo; significant imports of neurovascular devices and accessories serving U.S. hospitals; multi-channel distribution.","Neurovascular products require precise HTS, controlled handling, and FDA device controls including UDI/recall readiness. EAR posture is typically EAR99, but components may merit ECCN review. Implement robust broker SOPs, master data governance, and ASN accuracy to limit CBP exams. UFLPA diligence for polymers/metals and packaging is necessary. Warranty/service returns enable drawback; track lots/serials for reconciliation. Maintain restricted party screening and audit-ready documentation across suppliers and logistics partners."
"MIKE-OCHQ-1A-000039","Glaukos","https://www.glaukos.com/","Tel: +1 (949) 367-9600 | Privacy: https://www.glaukos.com/privacy-policy/ (privacy@glaukos.com)","One Glaukos Way, Aliso Viejo, CA 92656","Ophthalmic Devices Importer","Public ophthalmic device company with $300M+ annual revenue (per filings); imports devices/accessories supporting glaucoma and corneal therapies.","Ophthalmic imports require accurate HTS for implants/devices, strict valuation controls, and maintenance of FDA UDI/listing and complaint files. Ensure EAR/ECCN reviews for any software/firmware. UFLPA diligence for polymers/metals and cleanroom packaging is essential. Implement broker SOPs, ASN/carton standards, and vendor QA to reduce CBP holds. Returns for field service should tie to drawback with serial/lot tracking. Maintain RPS screening, master data governance, and 19 CFR 163 recordkeeping."
