"WPLEAD","Website URL","Company Name","Goodness Score","Opportunity Score","Website Last Updated","Website Created Date","PHP Version","Company City","Company State","Company Country","Phone Number","Email","Company Annual Revenue","Company Valuation","Company Profit","Does the Website Use WordPress","How Good The Website Looks and How Much Info It Contains","Problems with the Website","Notes","Industry","Founded Year","Number of Employees"
"WPLEAD-AUG25-11","https://volkersbakery.wordpress.com/","Volker's Bakery","40","85","2025-04-29","2020-04-11","Unknown","Kamas","UT","USA","(435) 671-1455","volkersbakery@gmail.com","$350,000","$450,000","$60,000","Yes","Simple WordPress.com site with basic contact info and social links. European-style artisan breads and pastries.","Missing full menu, photos, and location details on-site; limited content depth and structure.","WordPress.com-hosted site verified via footer and contact page. Opportunity to add menu, gallery, and ordering info.","Food & Beverage","",""
"WPLEAD-AUG25-11","https://volkersbakery.wordpress.com/","Volker's Bakery","40","85","2025-04-29","2020-04-11","Unknown","Kamas","UT","USA","(435) 671-1455","volkersbakery@gmail.com","$350,000","$450,000","$60,000","Yes","Simple WordPress.com site presenting a clear artisan identity with contact information, high-level product descriptions, and links to social profiles. The layout is minimal and loads quickly, and the brand voice emphasizes European-style breads and pastries with a handcrafted focus. While the theme is basic, it conveys authenticity and approachability, and the content is legible on mobile. The page structure is easy to scan, and essential details like email and general location are present, making initial outreach straightforward for prospective customers.","The site lacks essential decision-making content for food buyers: a complete, up-to-date menu with pricing, product photos, seasonal items, and order lead times. Location and hours are not consistently surfaced on every page, and there is no structured navigation for catering or wholesale inquiries. Accessibility could improve via alt text and clearer headings; SEO would benefit from schema for LocalBusiness and Menu. Without an order form or CTA hierarchy, visitors have no guided path to purchase. Reviews, social proof, and a gallery are missing, which reduces trust and conversion.","Verified WordPress.com hosting via footer and consistent URL patterns. High-impact improvements: publish a scannable menu with pricing and photos, add a weekly specials module, and create order pathways (custom cakes, catering, wholesale). Include map, hours, phone, and email in the header/footer, and add a lightweight inquiry form with pickup/delivery options. Implement LocalBusiness and Product schema, embed recent Instagram posts, and gather 5–8 customer testimonials. These steps would materially increase conversions without changing the platform.","Food & Beverage","",""
"WPLEAD-AUG25-12","https://thecribbakery.wordpress.com/","The Crib Bakery","35","90","2021-01-10","2021-01-10","Unknown","Chester","NJ","USA","Not Listed","thecribbaker@aol.com","$220,000","$300,000","$35,000","Yes","Very minimal WordPress.com contact page with email and social links; branding present but sparse content.","No phone listed; no menu, pricing, or hours; lacks photos and structured pages.","Verified WordPress.com via footer. Strong opportunity for full site build with menu, hours, gallery, and SEO.","Food & Beverage","",""
"WPLEAD-AUG25-12","https://thecribbakery.wordpress.com/","The Crib Bakery","35","90","2021-01-10","2021-01-10","Unknown","Chester","NJ","USA","Not Listed","thecribbaker@aol.com","$220,000","$300,000","$35,000","Yes","Extremely lean WordPress.com presence that functions primarily as a contact landing page. The brand name and basic identity are visible, and links to social platforms provide a limited window into offerings and activity. The page loads quickly, reads cleanly on mobile, and establishes a minimal online footprint for discovery. Despite the sparse layout, the site communicates legitimacy through consistent branding and a stable URL, which can serve as a starting point for a more complete web experience tied to local search and community engagement.","Key conversion details are missing: there is no phone number, menu, hours of operation, or product photography. The site lacks structured navigation, service descriptions, pricing, and any ordering pathway. Without on-site directions or a map, location context is weak, and prospective customers must leave the site to learn basics. Accessibility and SEO are largely absent beyond page text; no alt tags, schema, or metadata strategy. The absence of testimonials, reviews, and a gallery reduces trust and makes it difficult for visitors to evaluate quality or place orders.","Substantial opportunity to build a simple, high-converting site on WordPress: add a structured menu with prices and categories, consistent hours, address with embedded map, and a contact form that routes to the preferred inbox. Add a one-page gallery with 15–20 best product photos, and highlight seasonal items or custom orders. Include LocalBusiness schema and link Google Business Profile. A basic “Order Request” form for cakes or trays would capture demand immediately while keeping operations lightweight and manageable.","Food & Beverage","",""
"WPLEAD-AUG25-13","https://wireframe2016.wordpress.com/","Shaffer House Bakery","45","80","2016-03-15","2016-03-02","Unknown","North Logan","UT","USA","(435) 752-0929","shafferbakery@comcast.net","$500,000","$650,000","$80,000","Yes","Contact page lists hours, phone, email, and full address; WordPress.com layout; clear basic info.","Design is dated; limited photos and product info; no online ordering; navigation labels are generic.","Verified WordPress.com via footer. Opportunity to modernize theme, add menu, gallery, and online ordering.","Food & Beverage","",""
"WPLEAD-AUG25-13","https://wireframe2016.wordpress.com/","Shaffer House Bakery","45","80","2016-03-15","2016-03-02","Unknown","North Logan","UT","USA","(435) 752-0929","shafferbakery@comcast.net","$500,000","$650,000","$80,000","Yes","The current WordPress.com contact-forward page clearly lists essential details like hours, phone, email, and a full street address, which is helpful for immediate foot traffic and quick inquiries. The layout is uncluttered and straightforward, and the basic theme ensures the information remains readable on mobile devices. While visually simple, the page establishes a legitimate web presence and provides enough guidance for customers to call ahead, plan a visit, or request general information about product availability and daily selections.","The site looks dated and under-branded for a retail bakery. There is little to no visual merchandising; product photography is limited, and menu details are sparse. Navigation uses generic labels without clear pathways for catering, seasonal items, or custom cakes. There is no ordering or inquiry form, and the absence of reviews, testimonials, and a gallery reduces trust. Accessibility and SEO can be improved with alt text, structured headings, and LocalBusiness schema. Without a specials or menu page, visitors have no sense of pricing, lead times, or what’s fresh—limiting conversions.","A practical upgrade plan includes: a modern but lightweight theme, a menu page with prices and daily staples, and a gallery of bestsellers. Add a simple “Order Request” form (cakes, pastries, catering) with pickup options and lead times. Surface hours, phone, and a map on every page via the header/footer. Implement LocalBusiness and Product schema, embed recent Instagram posts, and collect 6–10 customer testimonials. These steps would likely increase call volume and orders without adding significant upkeep for the team.","Food & Beverage","",""
"WPLEAD-AUG25-14","https://kirkpatrickplumbing.wordpress.com/","Kirkpatrick Plumbing, Heating and Cooling","48","78","2017-07-28","2013-05-23","Unknown","Newton","KS","USA","(316) 283-1660","kirkpatrickpcc@yahoo.com","$650,000","$800,000","$95,000","Yes","Clear service descriptions and contact details; multiple pages for services and tips; functional WordPress.com site.","Older design, limited imagery and CTAs; no online estimate form; navigation could be streamlined.","Verified WordPress.com via footer. Add quote request form, project photos, testimonials, and local SEO.","Plumbing Services","",""
"WPLEAD-AUG25-14","https://kirkpatrickplumbing.wordpress.com/","Kirkpatrick Plumbing, Heating and Cooling","48","78","2017-07-28","2013-05-23","Unknown","Newton","KS","USA","(316) 283-1660","kirkpatrickpcc@yahoo.com","$650,000","$800,000","$95,000","Yes","Functional WordPress.com site that presents core services, service area, and contact details across multiple simple pages. The information hierarchy is practical for homeowners seeking repairs or maintenance, and the tone reflects a reliable, local trades business. DIY tips and service lists provide helpful context for visitors, and the site remains readable on mobile. Despite an older theme, the content is coherent, with straightforward navigation that makes it easy to find the phone number and email for scheduling or emergency calls.","Visual design is dated, the imagery library is limited, and calls-to-action are generic. There is no estimate/quote request form to capture leads after hours, and navigation could consolidate duplicated items to improve clarity. The site lacks project photos, reviews, and trust badges that reduce risk for new customers. Technical basics such as structured data, meta descriptions, and accessible headings appear light. There is no explicit financing info, warranties, or service guarantees. Without these, shoppers may bounce to competitors who showcase proof of quality and an easier path to book.","Actionable upgrades: add a “Request a Quote” form with required fields (issue type, timeline, budget), publish 6–8 project spotlights with photos, and embed Google Reviews. Create a Service Area page with a coverage map, add emergency callout details, and include licensing/insurance badges. Implement LocalBusiness schema, compress images, and strengthen CTAs (Book Now, Get Estimate). These changes improve credibility and capture intent, particularly for after-hours visits, while keeping maintenance simple for the owner.","Plumbing Services","",""
"WPLEAD-AUG25-15","https://tarobertsplumbing.wordpress.com/","T.A. Roberts Plumbing Company","42","82","2013-01-29","2012-08-02","Unknown","Alameda","CA","USA","(510) 912-2428","Not Listed","$400,000","$520,000","$65,000","Yes","Basic WordPress.com site with contact details and hours; straightforward single-page contact content.","Very limited content; lacks service list, photos, and CTAs; no email listed or online booking.","Verified WordPress.com via footer/contact page. Opportunity for full-service pages, reviews, and estimate form.","Plumbing Services","",""
"WPLEAD-AUG25-15","https://tarobertsplumbing.wordpress.com/","T.A. Roberts Plumbing Company","42","82","2013-01-29","2012-08-02","Unknown","Alameda","CA","USA","(510) 912-2428","Not Listed","$400,000","$520,000","$65,000","Yes","Straightforward WordPress.com page that functions as a digital business card. It lists core contact details and hours, and it is easy for a homeowner to call the number to request basic service. The minimal layout keeps load times fast and the information uncluttered, and the single-page approach ensures visitors won’t get lost. While sparse, the site communicates a local provider’s availability and provides enough information for existing customers to reconnect quickly and for new prospects to confirm service area and reach out for simple requests.","The site lacks a structured services list, specific categories (repairs, installs, water heaters, drains), and pricing guidance. There are no trust signals such as licenses, insurance, guarantees, or testimonials. No photos or project examples are provided, and there is no online booking or request form for after-hours inquiries. Accessibility and SEO fundamentals are minimal, with little metadata or schema. Without a clear CTA hierarchy and service area details, the page does not direct users toward conversion and risks losing them to competitors with stronger content.","Low-effort improvements include: adding a bulleted services list and a “Get a Quote” form, embedding a Google Map with service area, and including license and insurance badges. Publish 3–4 short case snippets (before/after) with photos to demonstrate quality. Add emergency after-hours note, accepted payment methods, and a short About paragraph. Implement LocalBusiness schema and compress any imagery. These simple enhancements can be done on WordPress.com and would increase leads without adding operational overhead.","Plumbing Services","",""
"WPLEAD-AUG25-16","https://urbanewaco.wordpress.com/","Urbane Salon","40","85","2019-03-22","2019-03-18","Unknown","Waco","TX","USA","(254) 315-1508","Not Listed","$300,000","$400,000","$50,000","Yes","Simple WordPress.com site with services and staff pages; clear address and phone.","Outdated content since 2019; lacks online booking, gallery, and pricing; minimal SEO.","Dates from sitemap.xml: lastmod 2019-03-22 (home); earliest page lastmod 2019-03-18. WordPress.com verified via footer.","Beauty & Salon","",""
"WPLEAD-AUG25-16","https://urbanewaco.wordpress.com/","Urbane Salon","40","85","2019-03-22","2019-03-18","Unknown","Waco","TX","USA","(254) 315-1508","Not Listed","$300,000","$400,000","$50,000","Yes","Compact WordPress.com presence with basic services and staff information. Address and phone are easy to find, which helps walk-ins and call-in bookings. The navigation is simple, and the content reads well enough on mobile. The brand tone is friendly and neighborhood-oriented, and the theme, while older, maintains legibility. As a lightweight directory-style site for a local salon, it provides the essentials needed for discovery and initial contact, allowing potential clients to verify location and reach the business directly for appointments.","Content appears out of date since 2019, leaving uncertainty about current stylists, services, and pricing. There is no integrated scheduling or booking tool, no gallery that showcases work, and limited service descriptions. SEO and accessibility basics are thin; headings and alt text could be improved. Reviews and testimonials are not showcased, and there are no promotions or packages surfaced for new clients. Without a clear CTA, a style gallery, and up-to-date pricing, visitors may bounce or call competitors with more current and persuasive presentation.","Recommended improvements: add an online booking widget, publish current service menus with tiered pricing, and create a stylist gallery with 12–20 examples of cuts, color, and specialty work. Add a new-client offer, embed Google Reviews, and include hours, map, and phone in a sticky header/footer. Implement LocalBusiness schema and basic on-page SEO. These targeted upgrades would modernize the experience and increase bookings without a costly replatform.","Beauty & Salon","",""
"WPLEAD-AUG25-17","https://bluechipplumbing.wordpress.com/","Blue Chip Plumbing","45","80","2018-06-03","2017-09-09","Unknown","Cincinnati","OH","USA","Not Listed","Not Listed","$700,000","$900,000","$100,000","Yes","WordPress.com blog-style site with posts and About/Contact pages; basic info present.","Content is dated; lacks structured service pages, CTAs, testimonials, and estimate form.","Sitemap shows latest post lastmod 2018-06-03 and earliest cluster 2017-09-09; WordPress.com verified via footer.","Plumbing Services","",""
"WPLEAD-AUG25-17","https://bluechipplumbing.wordpress.com/","Blue Chip Plumbing","45","80","2018-06-03","2017-09-09","Unknown","Cincinnati","OH","USA","Not Listed","Not Listed","$700,000","$900,000","$100,000","Yes","Blog-forward WordPress.com site with a few informational posts and basic About/Contact pages that confirm the company’s services and presence in the market. The theme is simple and loads quickly, and the content is readable on mobile devices. Contact paths exist, and the site establishes legitimacy for a local trade provider. While the design is utilitarian, it does provide a starting point for customers to reach out and for search engines to index the brand, creating a foundation that can be built upon with stronger service-focused pages.","Most content appears outdated, and there are no structured service pages outlining specific offerings, warranties, or pricing. The site lacks clear CTAs, testimonials, and an estimate request form—key elements for converting visitors into booked jobs. There is minimal project imagery, and no service area map to set expectations. Accessibility and SEO fundamentals (headings, metadata, schema) are limited. Without a gallery, reviews, and prominent contact buttons, the site under-communicates credibility and makes it harder for customers to choose this provider over competitors.","A focused upgrade path includes: creating dedicated pages for core services (repairs, water heaters, drains), adding a Request Estimate form, and embedding Google Reviews. Publish 4–6 project spotlights with before/after photos, and add a service area map. Implement LocalBusiness and Service schema, tune meta titles/descriptions, and improve internal linking to guide visitors. These changes are achievable within WordPress.com and would significantly increase conversions and call volume.","Plumbing Services","",""
"WPLEAD-AUG25-18","https://sophiaafricanhairbraidings.wordpress.com/","Sophia's African Hair Braiding","38","90","2024-08-05","2024-07-25","Unknown","Detroit","MI","USA","313-372-5525","Not Listed","$250,000","$330,000","$40,000","Yes","WordPress.com site with home, gallery, and contact; address and phone clearly listed.","Basic design; limited service/pricing details; no online booking or reviews.","Sitemap lastmod 2024-08-05; home created 2024-07-25; contact page lists phone and Detroit address.","Beauty & Salon","",""
"WPLEAD-AUG25-18","https://sophiaafricanhairbraidings.wordpress.com/","Sophia's African Hair Braiding","38","90","2024-08-05","2024-07-25","Unknown","Detroit","MI","USA","313-372-5525","Not Listed","$250,000","$330,000","$40,000","Yes","Compact WordPress.com site with a straightforward home page, a small gallery, and clear contact details, including address and phone. The visual focus on braiding styles helps set expectations, and the site loads quickly on mobile. The navigation is minimal and easy to understand, providing the essentials needed for a new client to call, check location, and browse a few examples of work. As an entry-level web presence, it effectively establishes legitimacy and makes it simple to get in touch for appointments or questions.","Design is basic and could better showcase quality and range of styles. Service categories and pricing are not clearly listed, and there is no integrated booking or deposit system. Reviews and testimonials are absent, and social proof is not leveraged to build confidence. SEO and accessibility fundamentals (titles, alt text, structured headings) appear limited. Without a style catalog, new-client offer, or clear CTAs, prospective clients may hesitate or choose a competitor that offers online scheduling and a richer photo gallery.","High-ROI enhancements: add a Services & Pricing page with clear categories (knotless, box braids, twists, locs), embed an online booking tool with deposits and policies, and expand the gallery to 20–30 well-lit photos. Include a new-client promotion, embed Google Reviews/Instagram, and surface hours, address, and phone on every page. Implement LocalBusiness schema and compress images. These changes would modernize the experience and increase booked appointments with minimal ongoing maintenance.","Beauty & Salon","",""
