"CNUM","Company","Parent/Owner","Strategy","Primary Markets","Homes Owned/Managed (approx.)","Website","Source URL","Description","Contact Phone","Difficulty & Openness (1-5)","Notes"
"CNUM-SFRBUY-AUG25-13","Sparrow","Private SFR operator","Acquire and operate SFR homes at scale","Multi-market national footprint","Growing private SFR portfolio","https://sparrownow.com/","https://sparrownow.com/contact/","Institutional SFR platform with multi-market operations; focuses on quality Sun Belt/suburban assets.","N/A","3 – Contact via web form; selective on partnerships","Sparrow is a private SFR operator that acquires and operates single-family rental homes across multiple markets. The company focuses on quality Sun Belt and suburban assets, with a growing private portfolio and selective partnership approach."
"CNUM-SFRBUY-AUG25-14","Kairos Living (Kairos Investment Management)","Kairos Investment Management","Tech-forward SFR operations and acquisitions","Sun Belt and suburban U.S.","Mid-sized private portfolio","https://www.kairosliving.com/","https://www.kairosliving.com/contact","Operates and acquires SFR leveraging data/technology; affiliate of Kairos Investment Management.","N/A","3 – Corporate form/email; approachable for targeted proposals","Kairos Living is a tech-forward SFR operator that leverages data and technology to acquire and operate single-family rentals. The company is an affiliate of Kairos Investment Management and has a mid-sized private portfolio across the Sun Belt and suburban U.S."
"CNUM-SFRBUY-AUG25-15","Lafayette Real Estate","Independent SFR asset manager","Acquire and manage SFR portfolios for investors","Multiple U.S. markets","~4,000 homes under management (public references)","https://lafayette-re.com/","https://lafayette-re.com/#contact","SFR-focused investment manager with third-party and proprietary capital mandates.","N/A","2 – Boutique manager; relatively open to inbound opportunities","Lafayette Real Estate is an independent SFR asset manager that acquires and manages single-family rental portfolios for investors. The company has a boutique approach and is relatively open to inbound opportunities, with a focus on SFR-focused investment management."
"CNUM-SFRBUY-AUG25-16","Second Avenue","Private SFR/BTR operator","Acquires and operates SFR; development of BTR communities","Sun Belt, Southeast","Growing SFR and BTR footprint","https://www.secondavenue.com/","https://www.secondavenue.com/contact/","Integrated SFR/BTR platform spanning acquisitions, development, and operations.","(813) 751-9009","2 – Active BD; responsive to market-specific outreach","Second Avenue is a private SFR/BTR operator that acquires and operates single-family rentals, with a growing footprint across the Sun Belt and Southeast. The company also develops build-to-rent communities and has an active business development approach."
{{ ...    18→"CNUM-SFRBUY-AUG25-17","Transcendent Electra","Transcendent Investment Mgmt + Electra America JV","Sun Belt SFR/BTR acquisition and operations","Sun Belt","Scaled JV platform","https://www.transcendentelectrahomes.com/","https://www.transcendentelectrahomes.com/contact/","JV platform building a large SFR/BTR portfolio across the Sun Belt.","N/A","3 – Corporate intake; target-market proposals considered","Transcendent Electra is a joint venture between Transcendent Investment Management and Electra America, focused on acquiring and operating single-family rentals and build-to-rent communities in the Sun Belt region. The platform is actively seeking opportunities in target markets and considers proposals from qualified partners."
    19→"CNUM-SFRBUY-AUG25-18","Rockpoint Group (SFR JVs)","Private equity real estate firm","Provides JV capital for programmatic SFR acquisitions","Nationwide via partners","Capital provider to large SFR programs","https://www.rockpoint.com/","https://www.prnewswire.com/news-releases/rockpoint-group-announces-250-million-single-family-rental-joint-venture-with-resicap-301154383.html","Institutional capital partner backing SFR operating platforms and JVs.","(617) 262-7170 (Boston HQ)","4 – Investor-focused; engage via sponsors/operators","Rockpoint Group is a private equity real estate firm that provides joint venture capital for programmatic single-family rental acquisitions. The firm partners with experienced operators to provide capital for large SFR programs, and is focused on building long-term relationships with its partners."
    20→"CNUM-SFRBUY-AUG25-19","My Community Homes (KKR)","KKR platform","SFR ownership and operations","Select U.S. markets","Growing platform backed by institutional capital","https://www.mycommunity.homes/","https://www.mycommunity.homes/contact","KKR-established SFR platform acquiring and operating single-family rentals.","N/A","3 – Contact via site; partnership access typically via networks","My Community Homes is a single-family rental platform established by KKR, a leading global investment firm. The platform is focused on acquiring and operating single-family rentals in select U.S. markets, and is backed by institutional capital. My Community Homes is committed to providing high-quality homes and exceptional customer service to its residents."
    21→"CNUM-SFRBUY-AUG25-20","Darwin Homes (Pagaya platform)","Pagaya-acquired operating platform","Tech-enabled acquisitions/PM for SFR portfolios","Sun Belt and tech-enabled markets","Manager/operator for investor-owned homes","https://pagaya.com/news/pagayas-acquisition-of-darwin-homes-powers-premier-tech-enabled-single-family-rental-platform/","https://www.darwinhomes.com/contact","Technology-driven SFR operator; acquisition and management services for institutional owners.","N/A","3 – Inbound via web form; open to management/BD discussions","Darwin Homes is a tech-enabled single-family rental operator that provides acquisition and property management services for institutional owners. The company uses data and technology to optimize its operations and provide high-quality homes to its residents. Darwin Homes is a subsidiary of Pagaya, a leading fintech company."
{{ ...    23→"CNUM-SFRBUY-AUG25-22","Divvy Homes","Private rent-to-own platform","Purchases homes for rent-to-own program","Nationwide in select markets","Large historical acquisition volume","https://www.divvyhomes.com/","https://www.divvyhomes.com/contact","Lease-to-own platform that buys homes on behalf of approved residents; institutional capital-backed.","N/A","3 – Web form/email only; partnership considered case-by-case","Divvy Homes is a private rent-to-own platform that purchases homes on behalf of approved residents. The company provides a lease-to-own program that allows residents to rent homes with the option to buy. Divvy Homes is backed by institutional capital and has a large historical acquisition volume."
"CNUM-SFRBUY-AUG25-23","Arrived","Fractional SFR investment platform","Buys SFRs into series LLCs for retail investors","Sun Belt and high-demand metros","Hundreds to thousands of homes across offerings","https://arrived.com/","https://arrived.com/about","SEC-qualified fractional platform aggregating capital to acquire SFRs for long-term rental.","N/A","3 – Retail-investor platform; acquisitions team accessible via site","Arrived operates an SEC-qualified platform that acquires single-family rentals into series entities and manages them on behalf of retail investors. The company highlights low-barrier fractional investing (starting at $100) and a national footprint of offerings. Official pages list its Seattle HQ address and partner intake."
"CNUM-SFRBUY-AUG25-24","Tiber Capital Group","Private SFR investor","Acquires SFR portfolios; JV partner in larger deals","Southeast, Sun Belt","Mid-sized portfolio; portfolio trades","https://tibercapital.com/","https://tibercapital.com/contact/","Active SFR investor with history of portfolio transactions and institutional partnerships.","N/A","2 – Boutique investor; approachable for direct portfolio offerings",""
"CNUM-SFRBUY-AUG25-25","Sylvan Road Capital","Private SFR platform","Acquisition, renovation, and management of SFR at scale","Multiple U.S. markets","Large third-party management and owned portfolios","https://sylvanroad.com/","https://sylvanroad.com/contact-us/","Vertically integrated SFR operator providing acquisitions and property management services.","(404) 924-4800","2 – Dedicated acquisitions/owner services; receptive to deal flow","Sylvan Road describes itself as a pioneer in institutional single-family investment management with end‑to‑end capabilities via affiliated operating groups (capital, brokerage, renovations, field services, and homes). The official contact page lists +1 404‑924‑4800 and provides vendor onboarding and corporate intake."
"CNUM-SFRBUY-AUG25-26","Second Avenue","Private SFR/BTR operator","Acquires and operates SFR; development of BTR communities","Sun Belt, Southeast","Growing SFR and BTR footprint","https://www.secondavenue.com/","https://www.secondavenue.com/contact/","Integrated SFR/BTR platform spanning acquisitions, development, and operations.","(813) 751-9009","2 – Active BD; responsive to market-specific outreach","Second Avenue is an integrated single‑family rental and build‑to‑rent operator active across the Southeast and Sun Belt. The company acquires stabilized homes and develops rental communities, with centralized corporate intake via its contact page that routes to market teams for acquisitions and partnership discussions."
"CNUM-SFRBUY-AUG25-29","NexMetro Communities (Avilla Homes)","BTR developer/operator","Develops single-level rental home communities (Avilla)","Arizona, Texas, Colorado, and others","Large multi-market BTR portfolio","https://www.nexmetro.com/","https://www.nexmetro.com/contact/","BTR-focused developer creating Avilla-branded rental home neighborhoods.","(480) 719-0033","3 – Developer focus; engage via land acquisition channels","NexMetro Communities is a BTR developer and operator that creates Avilla-branded single-level rental home communities across multiple markets. The company focuses on developing and operating large-scale BTR projects, with a strong presence in Arizona, Texas, and Colorado. Official pages outline its mission, approach, and contact information for land acquisition and development opportunities."
"CNUM-SFRBUY-AUG25-30","RangeWater Real Estate (Storia)","Private developer/operator","SFR/BTR program under Storia brand; acquisitions and development","Southeast, Sun Belt","Active multi-market SFR/BTR pipeline","https://www.liverangewater.com/storia","https://www.liverangewater.com/contact/","RangeWater’s Storia brand targets SFR/BTR opportunities across the Southeast and Sun Belt.","(404) 532-1900","2 – Active acquisitions team; receptive to qualified opportunities","RangeWater Real Estate is a private developer and operator that targets SFR and BTR opportunities under its Storia brand. The company has an active pipeline of projects across the Southeast and Sun Belt, with a focus on acquisitions and development. Official pages outline its approach, services, and contact information for partnerships and deal submissions."
"CNUM-SFRBUY-AUG25-31","SFR3 Fund","Independent investment fund","Buys distressed/undervalued SFR homes at scale; renovates and rents","Nationwide focus in affordable/suburban markets","Growing private portfolio","https://www.sfr3.com/","https://www.sfr3.com/contact-us","Programmatic SFR buyer focused on cost-efficient renovations and long-term rentals.","N/A","2 – Data-driven buyer; approachable via vendor/contact form","SFR3 is a programmatic acquirer of affordable single‑family rentals, using standardized renovations and data‑driven underwriting to scale holdings in suburban and workforce markets. Official pages outline its mission, approach, and vendor portal, with contact directed through a web form for partnerships and market submissions."
{{ ... }}
"CNUM-SFRBUY-AUG25-40","Hudson Homes Management","Hudson Advisors affiliate","Acquires/renovates/leases SFR; national property manager","Nationwide multi-market","Large managed portfolio","https://hudsonhomesmanagement.com/","https://hudsonhomesmanagement.com/our-story","Wholly-owned subsidiary of Hudson Advisors; SFR acquisitions and management at scale.","N/A","3 – Resident-first contact; corporate engagement via site",""
"CNUM-SFRBUY-AUG25-41","Atlas Real Estate","Independent operator","Acquires and manages SFR for funds and clients","Mountain West and Sun Belt","Regional SFR portfolio + third-party","https://realatlas.com/","https://realatlas.com/contact/","Regional SFR operator/investor providing acquisitions and property management services.","N/A","2 – Boutique/regional; approachable for direct opportunities",""
"CNUM-SFRBUY-AUG25-42","ResiBuilt Homes","BTR developer/operator","Builds rental home communities; sells/operates for investors","Atlanta and Southeast","Growing BTR portfolio in GA and SE","https://www.resibuilt.com/","https://www.resibuilt.com/contact/","Southeast BTR developer/operator of purpose-built rental home neighborhoods.","N/A","3 – Developer intake; open to site-specific proposals",""
"CNUM-SFRBUY-AUG25-43","Kinloch Partners","Private BTR developer/operator","Build-to-rent single-family communities; acquires land/lots","Southeast, Texas","Active BTR pipeline incl. Dallas-area expansion","https://www.kinlochpartners.net/","https://www.kinlochpartners.net/contact","BTR developer/operator expanding in Sun Belt markets; programmatic community acquisitions and operations.","(833) 546-5624","3 – Developer intake; best via land/deal submissions",""
"CNUM-SFRBUY-AUG25-44","Southern Impression Homes","Private developer/operator","Build-to-rent new construction; investor-focused sales","Florida (Jacksonville and other FL markets)","Active new-build BTR pipeline","https://southernimpressionhomes.com/","https://southernimpressionhomes.com/contact/","Florida-based BTR developer selling stabilized and in-process inventory to investors; continues to acquire lots/land.","(904) 650-5875 (Investments)","2 – Investor sales team; responsive to qualified opportunities",""
"CNUM-SFRBUY-AUG25-45","JWB Real Estate Capital","Private turnkey operator","Acquires/builds SFR inventory for turnkey investors; manages post-close","Jacksonville, FL","Hundreds+ per year (company programs)","https://www.jwbrealestatecapital.com/","https://www.jwbrealestatecapital.com/contact-us/","Vertically integrated Jacksonville turnkey SFR buyer/builder and manager serving out-of-market investors.","(904) 677-6777","2 – Portfolio/lot submissions considered; active buyer/builder",""
"CNUM-SFRBUY-AUG25-46","REI Nation","Private turnkey operator","Acquires/renovates SFR for retail investors; management included","Multiple U.S. markets (Memphis, Dallas, etc.)","Thousands of homes under management","https://www.reination.com/","https://www.reination.com/getstarted","Large turnkey SFR platform purchasing and renovating homes across several markets for investor clients.","(901) 751-7191","3 – Intake via advisor form; selective by market and product",""
"CNUM-SFRBUY-AUG25-47","Trio (ThinkTrio)","Private rent-to-own platform","Acquires homes for program participants under lease-to-own","Multiple U.S. markets","Program-driven acquisition volume","https://www.thinktrio.com/","https://www.thinktrio.com/contact","Rent-to-own platform acquiring homes for approved residents with pathway to purchase.","(855) 873-8746","3 – Consumer-first; partnership routes via corporate contact",""
"CNUM-SFRBUY-AUG25-48","ResiAmerica","Independent SFR operator","Acquires and manages scattered-site SFR portfolios","Southeast and Midwest focus","Regional SFR portfolio","https://www.resiamerica.com/","https://www.resiamerica.com/","Regional owner-operator with active acquisitions and in-house management capabilities.","(800) 626-7079","2 – Regional operator; approachable with market-aligned offerings",""
"CNUM-SFRBUY-AUG25-49","SimplyHome (Camillo Companies)","Camillo Companies","BTR single-family communities; own/operate rentals","Texas and select markets","Large Texas-centric BTR footprint","https://simplyhomecommunity.com/","https://simplyhomecommunity.com/contact/","Camillo Companies’ rental home platform operating purpose-built single-family rental neighborhoods.","(281) 566-5051","3 – Developer/operator; engages via land/builder channels",""
"CNUM-SFRBUY-AUG25-50","Marketplace Homes","Investor platform / operator","Sources, buys/sells SFR portfolios; provides PM and brokerage","Nationwide investor focus","Active investor-driven acquisitions","https://www.marketplacehomes.com/","https://marketplacehomes.com/contact-us/","Investor-oriented SFR platform transacting portfolios and single assets; offers acquisition and disposition services.","(800) 331-0646","3 – Corporate intake; responsive to portfolio opportunities",""
"CNUM-SFRBUY-AUG25-51","Pacific West Companies","Private developer","Build-to-rent single-family/townhome communities","Northern CA and Nevada","Ongoing BTR developments","https://pacificwestcompanies.com/","https://pacificwestcompanies.com/services/build-to-rent-single-family/","Developer delivering BTR communities; engages on land and forward takeout opportunities.","(775) 499-5656","3 – Developer intake; targets land/forward deals",""
"CNUM-SFRBUY-AUG25-52","Avanta Residential","CP Capital/Crescent affiliate","Build-to-rent developer/operator of single-family communities","Texas and Sun Belt","Growing BTR pipeline","https://www.avantaresidential.com/","https://www.avantaresidential.com/contact","BTR-focused platform developing and operating rental home communities across Sun Belt markets.","(720) 649-4240","3 – Development-led; engages via land and JV channels",""
"CNUM-SFRBUY-AUG25-53","American Avenue","Private turnkey operator","Acquires/renovates SFR for investors; property management","Memphis and Southeast markets","Regional turnkey SFR portfolio","https://www.americanavenue.com/","https://www.americanavenue.com/contact/","Turnkey SFR company acquiring and operating homes for retail investors, with in-house management.","N/A","2 – Regional buyer; approachable for inventory and portfolios",""
"CNUM-SFRBUY-AUG25-54","Pintar Investment Company","Private SFR investor","Acquires and operates single-family rentals; portfolio trades","Southern California and select markets","Regional SFR portfolio","https://www.pintarinvestmentcompany.com/","https://www.pintarinvestmentcompany.com/contact/","Southern California-based SFR investor/operator with ongoing acquisitions and dispositions.","(949) 276-4166","3 – Boutique investor; selective by market and return profile",""
"CNUM-SFRBUY-AUG25-55","Roofstock Portfolio Services","Investor marketplace/operator","Aggregates capital to acquire SFR portfolios for clients","Nationwide via operator partners","Significant transaction volume historically","https://www.roofstock.com/","https://www.roofstock.com/institutional","Institutional and high-net-worth platform facilitating acquisition of SFR portfolios across the U.S.","(800) 466-4116","3 – Institutional intake; engages on brokered/portfolio opportunities",""
"CNUM-SFRBUY-AUG25-56","Opendoor","Publicly traded iBuyer (NASDAQ: OPEN)","Directly purchases homes for resale; data-driven pricing","Active in CA (incl. SoCal/IE), TX, and select metros","Large transaction volume historically","https://www.opendoor.com/","https://www.opendoor.com/w/submit-offer","Consumer iBuyer purchasing homes quickly for cash; operates across many TX markets and SoCal near Desert Hot Springs via Inland Empire coverage.","N/A (contact via website)","2 – Streamlined intake; easy submission for acquisitions","Operates at scale with standardized criteria and timelines, providing predictable closings for eligible properties. For Riverside County/Desert Hot Springs, coverage is typically through the broader Inland Empire. Their workflows make it easy to submit addresses and get decisions fast."
"CNUM-SFRBUY-AUG25-57","Offerpad","Public iBuyer (NYSE: OPAD)","Direct cash offers; purchases homes for resale","Active in AZ, NV, CA (Inland Empire/Palm Springs area), TX, FL","Significant historical purchase volume","https://www.offerpad.com/","https://www.offerpad.com/sell","iBuyer providing quick cash offers; active across multiple TX metros and select SoCal markets adjacent to Desert Hot Springs.","N/A (contact via website)","2 – Simple web intake; quick response on eligible assets","Known for fast underwriting and transparent criteria. Useful for time-sensitive dispositions in Texas metros and SoCal’s Inland Empire region. Submissions can include photos and notes; decisions often within days."
"CNUM-SFRBUY-AUG25-58","HomeVestors (We Buy Ugly Houses)","Franchise network","Franchisees acquire homes for rehab/resale or rental","Nationwide including TX, AR, PA, NE, ID","Thousands of deals annually via franchise network","https://www.webuyuglyhouses.com/","https://www.webuyuglyhouses.com/contact/","National franchise buyers that make cash offers; local operators exist in most target states and metros.","N/A (local franchise lines)","2 – Highly accessible; local franchise intake numbers","Local franchisees handle acquisitions and have flexibility on condition and timeline. Coverage includes Arkansas, Pennsylvania suburbs, Nebraska cities, and many Texas metros, with straightforward phone/web intake for sellers."
"CNUM-SFRBUY-AUG25-59","New Western","Private wholesale marketplace","Buys assignments; sources off-market SFR for investor buyers","Nationwide presence incl. TX, AR, PA, AZ/CA","Tens of thousands of transactions historically","https://www.newwestern.com/","https://www.newwestern.com/contact/","Real estate marketplace acquiring homes via assignment; connects sellers to investor buyers quickly across many markets.","N/A (local office lines)","2 – Very open to inventory; acquisitions reps in-market","Regional acquisitions teams actively review submissions and can move quickly on assignable contracts. Strong coverage in Texas and Pennsylvania; presence in Arkansas and Southern California supports localized deal flow."
"CNUM-SFRBUY-AUG25-60","HomeGo","National cash buyer","Buys homes as-is for resale to investors or retail","Across many U.S. states incl. TX, AR, PA","High transaction cadence in covered metros","https://www.homego.com/","https://www.homego.com/contact-us/","Consumer-facing buyer offering same-day offers and quick closings; routes inventory to investor demand.","N/A (contact via website)","2 – Easy contact; responsive acquisitions team","Geared toward speed with clear offer ranges and closing timelines. Particularly active in larger Texas metros and select Pennsylvania markets; receptive to occupied or lightly distressed assets."
"CNUM-SFRBUY-AUG25-61","NetWorth Realty","Wholesale investor brokerage","Acquires/assigns SFR projects to investor network","Operates in TX (DFW, Houston, Austin), CA, PA, AZ","Thousands of deals through local offices","https://www.networthrealtyusa.com/","https://www.networthrealtyusa.com/contact","Wholesale-focused platform sourcing SFR projects and moving them to cash buyers.","N/A (local office lines)","2 – Deal-focused intake; approachable acquisitions reps","Local analysts and managers actively underwrite submissions and can provide quick feedback on price/condition. Strong footprint in Texas; SoCal offices cover Inland Empire proximity."
"CNUM-SFRBUY-AUG25-62","Evernest Investment Sales","Evernest, Inc.","Acquires SFR for investors; PM platform; brokerage","Multiple states incl. AR, TX, PA","Large PM footprint; growing acquisition volume","https://www.evernest.co/","https://www.evernest.co/contact/","Property management and investment sales platform that acquires and brokers SFR for investor clients.","N/A","2 – Open to inventory; channel to investor demand","Because Evernest manages across many markets (including Little Rock and TX metros), acquisitions teams can match supply to active investor clients. Easy to reach via central contact and local market pages."
"CNUM-SFRBUY-AUG25-63","Home365","Tech-enabled PM/investment platform","Buys and manages SFR for investors; guarantees performance","Pennsylvania-centric origins; multi-state expansion","Thousands of doors under management","https://www.home365.co/","https://www.home365.co/contact/","Investment/PM platform with acquisitions funnel; historically rooted in PA markets via prior brands.","N/A","2 – Investor-first; receptive to curated inventory","With deep Pennsylvania presence (e.g., Pittsburgh/Philadelphia suburbs), Home365 evaluates acquisitions for investors seeking stabilized SFR. Intake via web form and market teams."
"CNUM-SFRBUY-AUG25-64","WeBuyHouses.com","National investor network","Local investors purchase homes for rehab/rent","Nationwide incl. TX, AR, PA, NE, ID","High volume across franchise/affiliate network","https://www.webuyhouses.com/","https://www.webuyhouses.com/contact-us/","Lead-generation and investor network facilitating local purchases with cash offers and flexible terms.","N/A (local numbers vary)","2 – Easy to reach; phone and web intake","Useful for smaller portfolios or singles in secondary markets like Nebraska and Idaho. Local investors can decide quickly; acquisitions contact is straightforward via site routing."
"CNUM-SFRBUY-AUG25-65","Orchard","Consumer home trade-in platform","Purchases homes to facilitate client moves","Active in TX markets; select national metros","Significant TX transaction history","https://www.orchard.com/","https://www.orchard.com/contact","Buy-before-you-sell platform that directly purchases homes as part of client transactions.","N/A","3 – Program-driven; responsive in eligible areas","Well established in Texas metros, Orchard provides predictable closings tied to client timelines. Intake is via program eligibility screens, but acquisitions teams evaluate properties promptly."
"CNUM-SFRBUY-AUG25-66","EasyKnock","Sale-leaseback platform","Buys homes and leases back to sellers","Multi-state coverage incl. TX, PA","Thousands of transactions with institutional backing","https://www.easyknock.com/","https://www.easyknock.com/contact","Sale-leaseback buyer offering liquidity to owners; evaluates SFR in target metros and price bands.","N/A","3 – Program screens; willing buyer when criteria met","Provides flexible occupancy and timing while delivering liquidity. For Texas and Pennsylvania, intake is straightforward via the site, with underwriting follow-ups from acquisitions analysts."
"CNUM-SFRBUY-AUG25-67","Open Door Capital (Turnkey buyers)","Independent investor platform","Aggregates investor capital to buy SFR portfolios","Nationwide; focuses on cash-flow markets","Growing SFR allocation alongside other assets","https://odcfund.com/","https://odcfund.com/contact/","Investor platform acquiring residential assets; engages brokers and sellers on small-to-mid portfolios.","N/A","3 – Investor-led; accessible via form","Targets yield-driven deals; approachable for off-market portfolios in Arkansas and Nebraska where cash-flow is attractive. Responds to submission packages with underwriting criteria."
"CNUM-SFRBUY-AUG25-69","CB Properties Memphis (Turnkey)","Independent turnkey/PM","Buys/renovates SFR in Memphis area; sells to investors","Memphis, TN and surrounding incl. AR vicinity","Thousands managed; steady acquisitions","https://cbpropertiesmemphis.com/","https://cbpropertiesmemphis.com/contact/","Turnkey operator and PM acquiring SFR across the Memphis MSA; Arkansas proximity allows cross-border opportunities.","N/A","2 – Regional buyer; approachable acquisitions team","Useful for northwest Mississippi and eastern Arkansas assets near Memphis. Team evaluates rent-ready or light value-add homes; quick yes/no via web contact."
